place_id	name	formatted_address	latitude	longitude	formatted_phone_number	international_phone_number	website	permanently_closed	opening_hours	price_level	rating	url	utc_offset	vicinity
ChIJr2xQ2ng-3YkRgerIpJ_PoRw	John Choi, Md	21 Reade Pl #3100, Poughkeepsie, NY 12601, USA	4.169.429	-73.933.554	(845) 214-1800	+1 845-214-1800	http://www.healthquest.org/medical-practice/hqmp-home.aspx					https://maps.google.com/?cid=2063158388883778177	-240	21 Reade Place #3100, Poughkeepsie
ChIJOfjPZCwU3YkRcrydw2LKv5A	Health Quest Medical Practice, P.C. Primary Care	4068 Albany Post Rd, Hyde Park, NY 12538, USA	4.176.862.440.000.000	-739.293.299	(845) 229-2123	+1 845-229-2123	http://www.healthquest.org/medical-practice/hqmp-home.aspx		{u'weekday_text': [u'Monday: 8:30 AM \u2013 5:00 PM', u'Tuesday: 8:30 AM \u2013 5:00 PM', u'Wednesday: 8:30 AM \u2013 5:00 PM', u'Thursday: 8:30 AM \u2013 5:00 PM', u'Friday: 8:30 AM \u2013 5:00 PM', u'Saturday: Closed', u'Sunday: Closed'], u'open_now': False, u'periods': [{u'close': {u'day': 1, u'time': u'1700'}, u'open': {u'day': 1, u'time': u'0830'}}, {u'close': {u'day': 2, u'time': u'1700'}, u'open': {u'day': 2, u'time': u'0830'}}, {u'close': {u'day': 3, u'time': u'1700'}, u'open': {u'day': 3, u'time': u'0830'}}, {u'close': {u'day': 4, u'time': u'1700'}, u'open': {u'day': 4, u'time': u'0830'}}, {u'close': {u'day': 5, u'time': u'1700'}, u'open': {u'day': 5, u'time': u'0830'}}]}			https://maps.google.com/?cid=10430277787550858354	-240	4068 Albany Post Road, Hyde Park
ChIJH12NiBtww4kRJ-t28J54rwk	Newton Medical Center	175 High St, Newton, NJ 07860, USA	410.577.021	-747.683.459	(973) 383-2121	+1 973-383-2121	http://www.atlantichealth.org/newton/		{u'weekday_text': [u'Monday: Open 24 hours', u'Tuesday: Open 24 hours', u'Wednesday: Open 24 hours', u'Thursday: Open 24 hours', u'Friday: Open 24 hours', u'Saturday: Open 24 hours', u'Sunday: Open 24 hours'], u'open_now': True, u'periods': [{u'open': {u'day': 0, u'time': u'0000'}}]}		3.4	https://maps.google.com/?cid=697909091300207399	-240	175 High Street, Newton
ChIJvXN6tn8-3YkR_GT8swIsRKc	eRiver Neurology of New York LLC	21 Fox St Suite 102, Poughkeepsie, NY 12601, USA	41.690.183	-7.393.339.139.999.990	(845) 452-9750	+1 845-452-9750	http://www.eriverneurology.com/				3.3	https://maps.google.com/?cid=12052806892871509244	-240	21 Fox Street Suite 102, Poughkeepsie
ChIJ2bukhuYx3YkRky8__oOxLMQ	St Luke's Cornwall Hospital Out	5029 Route 9W, Newburgh, NY 12550, USA	41.549.148	-7.400.698	(845) 565-0700	+1 845-565-0700						https://maps.google.com/?cid=14135868510873530259	-240	5029 Route 9W, Newburgh
ChIJ7eYiNM3exIkRABLEQHsRtvc	Besher Kabak, MD, FCCP	743 Jefferson Ave #104, Scranton, PA 18510, USA	4.141.291.249.999.990	-756.545.735	(570) 344-9457	+1 570-344-9457	http://www.commonwealthhealth.net/					https://maps.google.com/?cid=17849473394194780672	-240	743 Jefferson Avenue #104, Scranton
ChIJt2khobqpxIkRL9J3PbJsiY8	Camp Lee Mar Health Center	450 Route 590, Lackawaxen, PA 18435, USA	4.145.583.120.000.000	-750.015.332	(570) 685-7188	+1 570-685-7188	http://www.leemar.com/				4.2	https://maps.google.com/?cid=10342917532024295983	-240	450 Route 590, Lackawaxen
ChIJTzzTk7453YkRL8nSEc2PROM	Daniel Parchen, Pa	1530 U.S. 9, Wappingers Falls, NY 12590, USA	415.918.146	-739.086.044	(845) 297-2511	+1 845-297-2511	http://www.healthquest.org/medical-practice/hqmp-home.aspx		{u'weekday_text': [u'Monday: 8:00 AM \u2013 8:00 PM', u'Tuesday: 8:00 AM \u2013 8:00 PM', u'Wednesday: 8:00 AM \u2013 8:00 PM', u'Thursday: 8:00 AM \u2013 8:00 PM', u'Friday: 8:00 AM \u2013 8:00 PM', u'Saturday: 8:00 AM \u2013 8:00 PM', u'Sunday: 8:00 AM \u2013 8:00 PM'], u'open_now': False, u'periods': [{u'close': {u'day': 0, u'time': u'2000'}, u'open': {u'day': 0, u'time': u'0800'}}, {u'close': {u'day': 1, u'time': u'2000'}, u'open': {u'day': 1, u'time': u'0800'}}, {u'close': {u'day': 2, u'time': u'2000'}, u'open': {u'day': 2, u'time': u'0800'}}, {u'close': {u'day': 3, u'time': u'2000'}, u'open': {u'day': 3, u'time': u'0800'}}, {u'close': {u'day': 4, u'time': u'2000'}, u'open': {u'day': 4, u'time': u'0800'}}, {u'close': {u'day': 5, u'time': u'2000'}, u'open': {u'day': 5, u'time': u'0800'}}, {u'close': {u'day': 6, u'time': u'2000'}, u'open': {u'day': 6, u'time': u'0800'}}]}			https://maps.google.com/?cid=16376372255956060463	-240	1530 U.S. 9, Wappingers Falls
ChIJbeyaPJ4uw4kRtzDU_HnukVY	Crystal Run Healthcare Goshen	7 Hatfield Ln, Goshen, NY 10924, USA	41.397.612	-743.422.766	(845) 615-6999	+1 845-615-6999	http://www.crystalrunhealthcare.com/locations/goshen-7-hatfield-ln		{u'weekday_text': [u'Monday: 7:30 AM \u2013 6:00 PM', u'Tuesday: 7:30 AM \u2013 6:00 PM', u'Wednesday: 7:30 AM \u2013 6:00 PM', u'Thursday: 7:30 AM \u2013 6:00 PM', u'Friday: 7:30 AM \u2013 6:00 PM', u'Saturday: Closed', u'Sunday: Closed'], u'open_now': False, u'periods': [{u'close': {u'day': 1, u'time': u'1800'}, u'open': {u'day': 1, u'time': u'0730'}}, {u'close': {u'day': 2, u'time': u'1800'}, u'open': {u'day': 2, u'time': u'0730'}}, {u'close': {u'day': 3, u'time': u'1800'}, u'open': {u'day': 3, u'time': u'0730'}}, {u'close': {u'day': 4, u'time': u'1800'}, u'open': {u'day': 4, u'time': u'0730'}}, {u'close': {u'day': 5, u'time': u'1800'}, u'open': {u'day': 5, u'time': u'0730'}}]}		3.3	https://maps.google.com/?cid=6238029166585065655	-240	7 Hatfield Lane, Goshen
ChIJrTcre6cP3YkRvjumFZjX7Xc	The Heart Center, a division of Hudson Valley Cardiovascular Practice, P.C.	55 Grand St, Kingston, NY 12401, USA	419.302.385	-739.984.269	(845) 339-8700	+1 845-339-8700	http://www.healthquest.org/medical-practice/hqmp-home.aspx				5	https://maps.google.com/?cid=8641800308192066494	-240	55 Grand Street, Kingston
ChIJAYvi8wssw4kRYrhCSy2LJsQ	Vein Center-The Hudson Valley	14 Scotchtown Avenue, Goshen, NY 10924, USA	414.067.659	-743.179.626	(845) 477-5705	+1 845-477-5705						https://maps.google.com/?cid=14134137507201333346	-240	14 Scotchtown Avenue, Goshen
ChIJSd3lj7CIxIkR_oZ9SWUeZKw	Morristown Memorial Hospital	103 Plateau Dr, East Stroudsburg, PA 18301, USA	4.102.643.070.000.000	-751.698.205								https://maps.google.com/?cid=12422087092568164094	-240	103 Plateau Drive, East Stroudsburg
ChIJq-6ju8fexIkR86BULJefI1A	Fresenius Medical Care @ Community Medical Center	1800 Mulberry Street, Scranton, PA 18510, USA	414.003.846	-7.564.584.529.999.990	(570) 969-8000	+1 570-969-8000	http://www.ultracare-dialysis.com/					https://maps.google.com/?cid=5774634618851729651	-240	1800 Mulberry Street, Scranton
ChIJh4OROA_LxIkREAyxdz2VYc0	Wayne Memorial Community Health Center	29 Woodlands Dr, Waymart, PA 18472, USA	415.823.361	-754.008.769	(570) 488-9787	+1 570-488-9787	http://www.wmh.org/wmchc/				5	https://maps.google.com/?cid=14799273941749795856	-240	29 Woodlands Drive, Waymart
ChIJhfLRTwQ-3YkRa1mw2HPUfFw	Advanced Kidney Care	9 Livingston St #1N, Poughkeepsie, NY 12601, USA	416.928.681	-739.363.197	(845) 471-8272	+1 845-471-8272	http://www.advancedkidneycareny.com/					https://maps.google.com/?cid=6664435142623254891	-240	9 Livingston Street #1N, Poughkeepsie
ChIJnfvTtRxww4kR3S7Xc7pfYKY	Hussey Unit	175 High St, Newton, NJ 07860, USA	410.573.222	-747.684.974								https://maps.google.com/?cid=11988687462472298205	-240	175 High Street, Newton
ChIJMXUTyxyDw4kRugyITMxNeOU	Regional Cancer Care Associates LLC	108 Bilby Rd #301, Hackettstown, NJ 07840, USA	408.666.028	-7.481.552.490.000.000	(908) 813-0790	+1 908-813-0790	http://www.regionalcancercare.org/locations/hackettstown					https://maps.google.com/?cid=16535051571743427770	-240	108 Bilby Road #301, Hackettstown
ChIJuw1cCpxOxIkR3c828UZaGg0	Blue Mountain Hospital Palmerton	135 Lafayette Ave, Palmerton, PA 18071, USA	408.030.053	-756.150.195	(610) 826-3141	+1 610-826-3141	https://www.blmtn.org/				1.6	https://maps.google.com/?cid=944166332628651997	-240	135 Lafayette Avenue, Palmerton
ChIJbU2ILfcyw4kRHQOINTvzQGM	Richard C Ward Addiction Treatment	117 Seward Ave, Middletown, NY 10940, USA	41.449.136	-744.380.378	(845) 341-2500	+1 845-341-2500	http://www.oasas.ny.gov/atc/ward/				5	https://maps.google.com/?cid=7151983643891073821	-240	117 Seward Avenue, Middletown
ChIJSf21rD9bw4kRKscDyyN733c	Milford Health & Wellness	111 E Catherine St # 120, Milford, PA 18337, USA	413.233.926	-748.014.068	(570) 409-8484	+1 570-409-8484	http://www.atlantichealth.org/newton/our-services/health-wellness-centers/milford-health-wellness.html					https://maps.google.com/?cid=8637758003979994922	-240	111 East Catherine Street # 120, Milford
ChIJZUky4-csw4kRfj3lDC7ocMQ	Crystal Run Healthcare Middletown	300 Crystal Run Rd, Middletown, NY 10941, USA	41.454.125	-74.347.256	(845) 703-6999	+1 845-703-6999	http://www.crystalrunhealthcare.com/locations/middletown-300-crystal-run-rd		{u'weekday_text': [u'Monday: 7:30 AM \u2013 6:00 PM', u'Tuesday: 7:30 AM \u2013 6:00 PM', u'Wednesday: 7:30 AM \u2013 6:00 PM', u'Thursday: 7:30 AM \u2013 6:00 PM', u'Friday: 7:30 AM \u2013 6:00 PM', u'Saturday: Closed', u'Sunday: Closed'], u'open_now': False, u'periods': [{u'close': {u'day': 1, u'time': u'1800'}, u'open': {u'day': 1, u'time': u'0730'}}, {u'close': {u'day': 2, u'time': u'1800'}, u'open': {u'day': 2, u'time': u'0730'}}, {u'close': {u'day': 3, u'time': u'1800'}, u'open': {u'day': 3, u'time': u'0730'}}, {u'close': {u'day': 4, u'time': u'1800'}, u'open': {u'day': 4, u'time': u'0730'}}, {u'close': {u'day': 5, u'time': u'1800'}, u'open': {u'day': 5, u'time': u'0730'}}]}		4	https://maps.google.com/?cid=14155068913307958654	-240	300 Crystal Run Road, Middletown
ChIJt2pQ2ng-3YkRLD2Rr4cx4wQ	Dyson Breast Center	Second Floor, 21 Reade Pl, Poughkeepsie, NY 12601, USA	4.169.429.100.000.000	-73.933.554	(845) 214-1840	+1 845-214-1840	http://www.healthquest.org/medical-practice/hqmp-home.aspx					https://maps.google.com/?cid=352179654700907820	-240	Second Floor, 21 Reade Place, Poughkeepsie
ChIJu7sYmMNYwokRNpgQM4U8hp4	Philip Steven Barie, M.D.	525 East 68th Street, 7th Floor, New York, NY 10065, USA	4.076.465.299.999.990	-73.953.904	(212) 746-5401	+1 212-746-5401	https://weillcornell.org/pbarie		{u'weekday_text': [u'Monday: 8:00 AM \u2013 8:00 PM', u'Tuesday: 8:00 AM \u2013 8:00 PM', u'Wednesday: 8:00 AM \u2013 8:00 PM', u'Thursday: 8:00 AM \u2013 8:00 PM', u'Friday: 8:00 AM \u2013 8:00 PM', u'Saturday: Closed', u'Sunday: Closed'], u'open_now': False, u'periods': [{u'close': {u'day': 1, u'time': u'2000'}, u'open': {u'day': 1, u'time': u'0800'}}, {u'close': {u'day': 2, u'time': u'2000'}, u'open': {u'day': 2, u'time': u'0800'}}, {u'close': {u'day': 3, u'time': u'2000'}, u'open': {u'day': 3, u'time': u'0800'}}, {u'close': {u'day': 4, u'time': u'2000'}, u'open': {u'day': 4, u'time': u'0800'}}, {u'close': {u'day': 5, u'time': u'2000'}, u'open': {u'day': 5, u'time': u'0800'}}]}		5	https://maps.google.com/?cid=11422884047656884278	-240	525 East 68th Street, 7th Floor, New York
ChIJSf21rD9bw4kRo4e-JKv9nNg	Milford Urgent Care	111 E Catherine St #130, Milford, PA 18337, USA	413.236	-748.014.553	(570) 409-9700	+1 570-409-9700	http://www.atlantichealth.org/morristown/our+services/urgent+care/urgent+care+at+milford		{u'weekday_text': [u'Monday: 9:00 AM \u2013 7:00 PM', u'Tuesday: 9:00 AM \u2013 7:00 PM', u'Wednesday: Closed', u'Thursday: 9:00 AM \u2013 7:00 PM', u'Friday: 9:00 AM \u2013 7:00 PM', u'Saturday: 9:00 AM \u2013 5:00 PM', u'Sunday: 9:00 AM \u2013 5:00 PM'], u'open_now': False, u'periods': [{u'close': {u'day': 0, u'time': u'1700'}, u'open': {u'day': 0, u'time': u'0900'}}, {u'close': {u'day': 1, u'time': u'1900'}, u'open': {u'day': 1, u'time': u'0900'}}, {u'close': {u'day': 2, u'time': u'1900'}, u'open': {u'day': 2, u'time': u'0900'}}, {u'close': {u'day': 4, u'time': u'1900'}, u'open': {u'day': 4, u'time': u'0900'}}, {u'close': {u'day': 5, u'time': u'1900'}, u'open': {u'day': 5, u'time': u'0900'}}, {u'close': {u'day': 6, u'time': u'1700'}, u'open': {u'day': 6, u'time': u'0900'}}]}		3.6	https://maps.google.com/?cid=15608629320056997795	-240	111 East Catherine Street #130, Milford
ChIJ26zel-R3xIkRK2VJMchLS2k	Riverfield Family Health Center	140 Boulevard, Washington, NJ 07882, USA	407.613.528	-7.497.432.119.999.990	(908) 237-4144	+1 908-237-4144	http://www.hunterdonhealthcare.org/service/primarycare/primarycarecenters/riverfield/				5	https://maps.google.com/?cid=7587241320428168491	-240	140 Boulevard, Washington
ChIJnX0JXwwk3YkRBa0dOdvcThM	The Children's Medical Group	1918 US-44, Modena, NY 12548, USA	4.166.791.869.999.990	-741.044.161	(845) 452-1700	+1 845-452-1700	http://www.childrensmedgroup.com/		{u'weekday_text': [u'Monday: 9:00 AM \u2013 5:00 PM', u'Tuesday: 9:00 AM \u2013 5:00 PM', u'Wednesday: 9:00 AM \u2013 5:00 PM', u'Thursday: 9:00 AM \u2013 5:00 PM', u'Friday: 9:00 AM \u2013 5:00 PM', u'Saturday: Closed', u'Sunday: Closed'], u'open_now': False, u'periods': [{u'close': {u'day': 1, u'time': u'1700'}, u'open': {u'day': 1, u'time': u'0900'}}, {u'close': {u'day': 2, u'time': u'1700'}, u'open': {u'day': 2, u'time': u'0900'}}, {u'close': {u'day': 3, u'time': u'1700'}, u'open': {u'day': 3, u'time': u'0900'}}, {u'close': {u'day': 4, u'time': u'1700'}, u'open': {u'day': 4, u'time': u'0900'}}, {u'close': {u'day': 5, u'time': u'1700'}, u'open': {u'day': 5, u'time': u'0900'}}]}			https://maps.google.com/?cid=1391292169018256645	-240	1918 U.S. 44, Modena
ChIJafhBU5ki3YkRIKB2pBsgpAM	HRHCare Health Center at New Paltz	1 Paradies Ln, New Paltz, NY 12561, USA	4.174.053.099.999.990	-740.587.893	(845) 255-1760	+1 845-255-1760	http://www.hrhcare.org/healthcenters/new-paltz/		{u'weekday_text': [u'Monday: 9:00 AM \u2013 4:00 PM', u'Tuesday: 9:00 AM \u2013 6:00 PM', u'Wednesday: 9:00 AM \u2013 7:00 PM', u'Thursday: Closed', u'Friday: 9:00 AM \u2013 2:00 PM', u'Saturday: Closed', u'Sunday: Closed'], u'open_now': False, u'periods': [{u'close': {u'day': 1, u'time': u'1600'}, u'open': {u'day': 1, u'time': u'0900'}}, {u'close': {u'day': 2, u'time': u'1800'}, u'open': {u'day': 2, u'time': u'0900'}}, {u'close': {u'day': 3, u'time': u'1900'}, u'open': {u'day': 3, u'time': u'0900'}}, {u'close': {u'day': 5, u'time': u'1400'}, u'open': {u'day': 5, u'time': u'0900'}}]}		5	https://maps.google.com/?cid=262369981389774880	-240	1 Paradies Lane, New Paltz
ChIJzy1Vkk6IxIkRWN3fFYiG99c	Planned Parenthood - Stroudsburg Medical Center	28 N 7th St, Stroudsburg, PA 18360, USA	409.861.886	-751.943.713	(570) 424-8306	+1 570-424-8306	https://www.plannedparenthood.org/health-center/pennsylvania/stroudsburg/18360/stroudsburg-medical-center-2764-91410?utm_campaign=stroudsburg-medical-center&utm_medium=organic&utm_source=local-listing		{u'weekday_text': [u'Monday: 12:00 \u2013 7:00 PM', u'Tuesday: Closed', u'Wednesday: 8:00 AM \u2013 4:00 PM', u'Thursday: 9:00 AM \u2013 4:30 PM', u'Friday: 9:00 AM \u2013 4:00 PM', u'Saturday: Closed', u'Sunday: Closed'], u'open_now': False, u'periods': [{u'close': {u'day': 1, u'time': u'1900'}, u'open': {u'day': 1, u'time': u'1200'}}, {u'close': {u'day': 3, u'time': u'1600'}, u'open': {u'day': 3, u'time': u'0800'}}, {u'close': {u'day': 4, u'time': u'1630'}, u'open': {u'day': 4, u'time': u'0900'}}, {u'close': {u'day': 5, u'time': u'1600'}, u'open': {u'day': 5, u'time': u'0900'}}]}		5	https://maps.google.com/?cid=15562054956442705240	-240	28 North 7th Street, Stroudsburg
ChIJV7V6aiJsxIkRreFKwdQGnhE	St. Luke's Health Center at Forks	2003 Sullivan Trail, Easton, PA 18040, USA	407.195.687	-752.231.561								https://maps.google.com/?cid=1269459655810802093	-240	2003 Sullivan Trail, Easton
ChIJ27fAvqtIw4kRhHpkP73FPnc	Bon Secours Charity Health System	161 E Main St, Port Jervis, NY 12771, USA	413.678.714	-746.825.551	(845) 858-7000	+1 845-858-7000	http://bonsecourscommunityhosp.org/				2.3	https://maps.google.com/?cid=8592522555672525444	-240	161 East Main Street, Port Jervis
ChIJr2xQ2ng-3YkRXqR84tvMRbc	Tania Barreras-Cruz, Md	21 Reade Pl #3100, Poughkeepsie, NY 12601, USA	4.169.429	-73.933.554	(845) 483-6654	+1 845-483-6654	http://www.healthquest.org/medical-practice/hqmp-home.aspx					https://maps.google.com/?cid=13206186727103571038	-240	21 Reade Place #3100, Poughkeepsie
ChIJbRtJsmXtxIkR6mTTq_fjs3M	Pocono Obstetrics & Gynecology	100 Community Dr, Tobyhanna, PA 18466, USA	411.485.079	-753.724.022	(570) 895-4331	+1 570-895-4331	http://www.poconohealthsystem.org/?id=278&sid=1		{u'weekday_text': [u'Monday: 7:00 AM \u2013 4:45 PM', u'Tuesday: 7:00 AM \u2013 4:45 PM', u'Wednesday: 7:00 AM \u2013 4:45 PM', u'Thursday: 7:00 AM \u2013 4:45 PM', u'Friday: 7:00 AM \u2013 4:45 PM', u'Saturday: 7:00 \u2013 11:00 AM', u'Sunday: Closed'], u'open_now': False, u'periods': [{u'close': {u'day': 1, u'time': u'1645'}, u'open': {u'day': 1, u'time': u'0700'}}, {u'close': {u'day': 2, u'time': u'1645'}, u'open': {u'day': 2, u'time': u'0700'}}, {u'close': {u'day': 3, u'time': u'1645'}, u'open': {u'day': 3, u'time': u'0700'}}, {u'close': {u'day': 4, u'time': u'1645'}, u'open': {u'day': 4, u'time': u'0700'}}, {u'close': {u'day': 5, u'time': u'1645'}, u'open': {u'day': 5, u'time': u'0700'}}, {u'close': {u'day': 6, u'time': u'1100'}, u'open': {u'day': 6, u'time': u'0700'}}]}			https://maps.google.com/?cid=8337257988072105194	-240	100 Community Drive, Tobyhanna
ChIJF39SkAhfw4kRMvYTH7uuGsw	Trigger Point Massage	1592 PA-739, Dingmans Ferry, PA 18328, USA	412.729.258	-749.203.206	(201) 317-1492	+1 201-317-1492	http://www.facebook.com/TriggerPointMassage		{u'weekday_text': [u'Monday: 8:00 AM \u2013 8:00 PM', u'Tuesday: 8:00 AM \u2013 5:00 PM', u'Wednesday: 8:00 AM \u2013 5:00 PM', u'Thursday: 8:00 AM \u2013 8:00 PM', u'Friday: 8:00 AM \u2013 5:00 PM', u'Saturday: 8:00 AM \u2013 12:00 PM', u'Sunday: Closed'], u'open_now': False, u'periods': [{u'close': {u'day': 1, u'time': u'2000'}, u'open': {u'day': 1, u'time': u'0800'}}, {u'close': {u'day': 2, u'time': u'1700'}, u'open': {u'day': 2, u'time': u'0800'}}, {u'close': {u'day': 3, u'time': u'1700'}, u'open': {u'day': 3, u'time': u'0800'}}, {u'close': {u'day': 4, u'time': u'2000'}, u'open': {u'day': 4, u'time': u'0800'}}, {u'close': {u'day': 5, u'time': u'1700'}, u'open': {u'day': 5, u'time': u'0800'}}, {u'close': {u'day': 6, u'time': u'1200'}, u'open': {u'day': 6, u'time': u'0800'}}]}			https://maps.google.com/?cid=14707259651835295282	-240	1592 Pennsylvania 739, Dingmans Ferry
ChIJra13dJVYwokRh3kQ5-p7Nio	Lenox Hill Hospital	100 E 77th St, New York, NY 10075, USA	4.077.364.569.999.990	-739.609.112	(212) 434-2000	+1 212-434-2000	https://www.northwell.edu/find-care/locations/lenox-hill-hospital?utm_source=local_yext&utm_medium=local&utm_campaign=yext				3.5	https://maps.google.com/?cid=3041754847164529031	-240	100 East 77th Street, New York
ChIJxWpQ2ng-3YkR-Q-2Yu7aXD0	Health Quest Medical Practice, P.C. General Surgery	21 Reade Pl, Poughkeepsie, NY 12601, USA	4.169.429	-73.933.554	(845) 214-1800	+1 845-214-1800	http://www.healthquest.org/medical-practice/hqmp-home.aspx					https://maps.google.com/?cid=4421649651564154873	-240	21 Reade Place, Poughkeepsie
